Year,Season,Sector_ID,Sector_Name,production,crop_area,yield,Ph,EC,Hp,C,N,P,K,Ca,Mg,S,Mn,Cu,B,Zn,Na,Fe,Al,ECEC,ESP,intercolumn,RainFall,Max_Temp,Min_Temp
2017,A,5704,Mareba,201250.1335,111.8056297,3235.432543,6.428928571,237.0714286,0.058928571,2.473928571,0.190357143,8.332142857,77.82142857,2739.785714,575.4285714,44.37857143,179.5357143,0.594285714,0.353785714,2.245714286,231.2857143,802.6428571,1295.5,19.7575,4.910714286,2308-A-2017,355,26.69156,15.45180333
2017,A,5707,Mwogo,861796.4172,478.7757874,3095.394628,5.162,46.8,0.46,0.278,0.03,2.72,128.6,744.8,235.4,22.3,116.12,1.81,0.126,2.53,55.08,370,226,6.716,3.558,2309-A-2017,437,26.999075,15.62283333
2017,A,5713,Ruhuha,221197.3091,122.887394,4315.07961,5.448571429,87.42857143,0.657142857,0.674285714,0.058571429,44.57142857,228,848.1428571,238.2857143,17.54285714,85.91428571,2.657142857,0.385714286,2.195714286,23.57142857,104.2857143,585.7142857,7.57,1.561428571,2310-A-2017,981,24.26006833,13.60952167
2017,A,5715,Shyara,102168.4639,56.76025772,4301.742272,6.93,66.5,0,2.965,0.15,285,418,3055,458,3.45,105.5,3.99,1.01,5.595,27.45,220.5,856.5,20.285,0.59,2311-A-2017,444,26.57637333,15.38538333
2017,B,1212,Nduba,296761.6791,164.8675995,4245.831214,5.78,43,0,2.35,0.18,32.6,113,553,132,3.9,52.2,1.87,0.24,1.53,25.5,194,611,4.27,2.6,2312-A-2017,927,24.36504833,13.74355833
2017,B,1213,Remera,256579.287,142.5440483,3232.508752,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2313-A-2017,585,24.51603333,13.27058667
2017,B,2104,Kibirizi,333225.3437,185.125191,2889.110148,5.136666667,45.75,0.716666667,0.4375,0.021666667,13.14166667,159.75,468,134.0833333,12.66666667,21.74166667,1.386666667,0.164583333,3.0025,29.60833333,236.4166667,215,4.710833333,2.973333333,2314-A-2017,400,26.35979,15.21282833
2017,B,2105,Kigoma,198244.4801,110.1358223,4769.942144,5.173333333,64,1.8,1.816666667,0.17,55.86666667,118.6666667,528,106.6666667,14.53333333,35.93333333,2.056666667,0.157666667,3.1,61.26666667,220.6666667,1142,5.9,4.876666667,2401-A-2017,267,26.32095667,15.54948333
2017,B,2108,Ntyazo,161230.7805,89.57265586,3970.929731,5.685346369,81.11853917,0.779787879,1.884816867,0.137940938,49.85095197,202.196072,1143.678742,222.6678759,16.11165866,98.74508576,2.813722527,0.307816824,3.960927187,50.90122784,216.6648228,966.9449114,9.093013751,2.9198492,2402-A-2017,248,25.71794667,15.214755
2017,B,2201,GIkonko,921070.6823,511.7059346,3527.37234,5.485471698,330.8867925,0.008490566,2.672830189,0.188301887,6.562264151,118.7924528,2094.018868,442.245283,145.9641509,359.1056604,0.730754717,0.177603774,3.670566038,113.6981132,1006.679245,1085.679245,14.96264151,3.353018868,2403-A-2017,326,25.78164667,15.30492
2017,B,2203,Kansi,103880.3535,57.71130753,4522.510946,5.577272727,72.27272727,0.422727273,0.47,0.032727273,14.7,229.7272727,1660.181818,333.6363636,10.76363636,63.36363636,1.364545455,0.373636364,2.471818182,19.65454545,124.7272727,220,12.17818182,0.976363636,2404-A-2017,495,25.096915,14.922
2017,B,2204,Kibilizi,441.25048,0.245139156,2115.546947,6.165,99.5,0,2.155,0.16,11.5,400,1245,292,13.6,59.3,1.805,0.64,2.44,96.5,129,1225,10.1,4.165,2405-A-2017,272,26.544525,15.04383333
2017,B,2207,Muganza,2097882.706,1165.490392,2825.991114,5.0725,108,0.9875,2.215,0.17,8.125,134.5,850,172.25,13.1,86.225,2.1175,0.17775,1.9775,52.8,322,1065,7.2475,3.295,2406-A-2017,319,25.36299167,14.596665
2017,B,2209,Mukindo,1139923.512,633.2908401,2845.832456,5.326666667,59.33333333,0.866666667,3.816666667,0.266666667,9.733333333,95,1348.666667,216,8.533333333,37.6,1.106666667,0.31,1.653333333,71.23333333,108.6666667,1496.666667,9.963333333,3.306666667,2407-A-2017,286,26.40129,15.295975
2017,B,2210,Musha,561491.7423,311.9398568,3128.980475,6.326666667,85.83333333,0.091666667,2.345,0.2,29,653.6666667,1643.5,380.6666667,9.833333333,76.81666667,2.196666667,0.605,5.94,47.65,136,1149.833333,13.36666667,2.56,2408-A-2017,273,26.70352,15.48242333
2017,B,2309,Ngoma,76968.3403,42.76018906,3086.983545,5.86,47,0,2.5,0.19,18.8,214,731,112,9.4,23.3,1.15,0.17,1.86,35,145,1400,5.29,2.88,2409-A-2017,281,26.41646333,15.52146333
2017,B,2405,Kinazi,172948.4287,96.0824604,2633.874136,6.226666667,46.66666667,0,2.32,0.18,39.2,354.3333333,992.3333333,213.6666667,6.2,62.33333333,1.426666667,0.286666667,3.826666667,53.43333333,142.6666667,1042.666667,7.886666667,2.973333333,2410-A-2017,331,26.58524667,15.15842167
2017,B,2407,Mbazi,410225.2694,227.9029274,3360.093192,5.254,124,0.03,3.028,0.203,6.81,67.9,1010.5,195.3,40.67,98.73,0.83,0.1153,2.259,25.92,553.2,1498.1,6.996,1.874,2411-A-2017,339,27.03231333,14.914445
2017,B,2408,Mukura,56310.06745,31.28337081,2518.0879,5.7075,61.75,2.0575,2.87,0.235,36.525,423.75,1633.25,273,9.1,25.225,1.58,0.4325,4.6975,71.1,156.75,1555,13.895,3.315,2412-A-2017,356,25.90247,15.20093667
2017,B,2410,Ruhashya,289671.0918,160.9283843,3258.268358,5.19,84.26315789,0.017105263,2.497368421,0.167368421,4.984210526,52.60526316,786.8684211,144.0789474,34.14736842,157.9,0.515526316,0.057157895,2.595526316,39.61315789,1218.710526,1141.184211,5.458684211,3.226842105,2413-A-2017,377,26.15042167,15.32396167
2017,B,2412,Rwaniro,254598.1364,141.4434091,3515.993468,5.63,56,0,2.3,0.22,10.1,113,559,94,7.6,61.1,2.89,0.17,1.12,41.3,144,873,4.05,4.44,2414-A-2017,237,26.65229667,15.55504167
2017,B,2413,Simbi,68088.34332,37.8268574,3320.890771,5.42,32.66666667,1.3,1.99,0.143333333,17.76666667,143.3333333,547,126.6666667,16.93333333,35.3,3.303333333,0.176666667,1.5,61.83333333,169.3333333,1072.333333,5.726666667,5.44,2501-A-2017,951,22.99123333,13.28300833
